Id,lat,lng
5875,-16.6906,-179.877
5867,-17.7433,-179.342
5883,-17.269,-178.976
5873,-18.1992,-178.817
5885,-14.3114,-178.066
2253,28.201725,-177.38063
5959,51.878,-176.646
2010,-43.81,-176.45723
7914,-44.300278,-176.22055
1968,-13.238281,-176.19923
5881,-15.5708,-175.633
1963,-21.241215,-175.14964
5879,-21.3783,-174.958
5880,-19.777,-174.341
7195,52.22028,-174.20639
1964,-18.585337,-173.96172
5882,-15.9767,-173.755
2929,64.378136,-173.2433
7614,-13.505,-172.62778
5887,-13.733,-172.3
1969,-13.829969,-172.00833
4290,-13.848611,-171.74083
6715,63.7668,-171.733
2242,-2.768122,-171.71039
1970,-14.331,-170.7105
6724,63.6864,-170.493
3426,57.16733,-170.22044
5884,-19.080029,-169.92564
7628,-14.184444,-169.67
7247,56.57722,-169.6636
3428,56.578342,-169.6616
4382,16.7286,-169.534
7627,-14.216111,-169.42361
7196,52.941666,-168.84889
7187,65.6225,-168.095
7194,65.56306,-167.92166
6736,65.2537,-166.859
6721,68.3488,-166.799
3860,53.90014,-166.5435
7183,65.33139,-166.46584
7186,65.24028,-166.33945
6720,60.3714,-166.271
6716,61.5239,-166.147
3413,68.87513,-166.11002
6723,66.2496,-166.089
3424,61.780296,-166.03874
6134,54.1325,-165.785
5968,61.5338,-165.584
7209,61.84528,-165.5714
3615,64.5122,-165.44525
8201,60.575558,-165.27167
8200,60.54139,-165.08722
7200,62.520557,-164.84778
8199,60.47111,-164.70084
7199,62.68,-164.66
8203,60.939167,-164.64111
6719,67.7362,-164.563
7087,62.78611,-164.49083
6960,60.149166,-164.28555
7201,59.933056,-164.03056
7189,64.89778,-163.70334
5966,62.0954,-163.682
7207,63.030556,-163.53278
7188,64.68916,-163.41278
7202,54.8475,-163.41028
6718,62.0605,-163.302
7096,59.87639,-163.16861
7185,64.55055,-163.00722
3414,69.73287,-163.00534
6725,67.5661,-162.975
7216,61.934444,-162.89944
7213,59.960835,-162.8811
6755,66.0696,-162.766
3854,55.206062,-162.72543
7099,60.335278,-162.66695
3693,66.88468,-162.59856
7094,60.873333,-162.52444
7212,60.905834,-162.43916
7193,63.515835,-162.27806
8196,60.86667,-162.27306
8197,60.86667,-162.27306
8198,60.86667,-162.27306
7184,64.615,-162.27055
6765,55.1163,-162.266
7191,63.49,-162.11028
3427,58.646427,-162.06277
7093,60.21361,-162.04388
7097,61.864643,-162.02611
7206,59.755,-161.84528
3599,60.779778,-161.838
3430,59.011356,-161.81966
8202,59.1175,-161.5775
7095,60.79028,-161.4436
7098,61.775,-161.31944
7217,60.90278,-161.23056
7192,64.37111,-161.22389
7203,56.0075,-161.16028
7190,64.939445,-161.15416
7178,65.98167,-161.14917
7181,66.8175,-161.02222
5863,-10.3767,-161.002
7218,61.096943,-160.96944
8940,-47.50028,-160.9161
7088,63.888332,-160.79889
7204,56.00611,-160.56084
6742,55.315,-160.523
7179,66.97583,-160.43666
6767,59.0528,-160.397
5964,61.5363,-160.341
7104,59.074444,-160.275
6713,62.6467,-160.191
7219,62.894444,-160.065
7220,70.638054,-159.99472
3412,70.61338,-159.86035
1959,-21.20274,-159.80556
3785,22.022833,-159.785
5962,62.1883,-159.775
1958,-18.830921,-159.76424
7090,62.692223,-159.56917
5967,61.5816,-159.543
7757,21.95455,-159.35599
3602,21.975983,-159.33896
7091,61.579166,-159.21556
7157,55.906666,-159.16083
7103,58.990276,-159.05
7153,56.255,-158.77528
6717,64.3191,-158.741
6766,56.9591,-158.633
6126,59.2826,-158.618
7155,56.31111,-158.53416
3460,59.044666,-158.5055
7156,56.295555,-158.4014
3583,21.579475,-158.19728
7238,61.86778,-158.135
5861,-19.9678,-158.119
7111,64.72945,-158.07417
8824,21.307222,-158.07028
3499,21.4835,-158.03967
5866,-9.00667,-158.037
7055,21.318682,-157.92242
3728,21.318682,-157.92242
5862,-21.8956,-157.905
7759,21.301186,-157.86568
7177,67.10639,-157.8575
3835,21.450453,-157.768
7208,64.87583,-157.73056
5865,-19.8425,-157.703
7158,57.585392,-157.57195
7100,59.356945,-157.47112
6714,70.4673,-157.436
7154,58.185555,-157.37555
7239,61.788055,-157.35028
2252,1.986161,-157.34978
5864,-20.1361,-157.345
6764,59.4499,-157.328
7101,59.726665,-157.25945
7240,61.700565,-157.16583
7117,66.888054,-157.1625
3705,21.152885,-157.09625
7159,58.70222,-157.0025
5989,21.211,-156.974
3851,20.78561,-156.95142
3764,64.736176,-156.93742
7180,66.912224,-156.89722
7102,59.128056,-156.85861
3571,71.285446,-156.766
7760,20.876455,-156.68323
3796,20.962936,-156.67303
3794,58.676777,-156.64928
7241,61.7875,-156.59111
3456,20.89865,-156.43045
7108,65.69778,-156.3514
7215,62.971943,-156.08278
3514,19.738768,-156.04562
3445,20.795635,-156.01443
7756,19.635393,-155.99832
3423,62.894367,-155.97653
6763,59.324,-155.902
6415,19.9136,-155.864
3532,20.265257,-155.85999
3545,20.001328,-155.6681
5965,62.9529,-155.606
3421,61.09737,-155.57423
3787,19.760056,-155.55371
6722,64.7272,-155.47
3431,59.361248,-155.25882
7758,19.730967,-155.0541
3415,19.721375,-155.04846
3429,59.754356,-154.91096
7210,59.966946,-154.85167
7161,57.566944,-154.45027
7214,63.010834,-154.3839
7107,66.03917,-154.26472
7166,56.899445,-154.24777
7170,57.16139,-154.22972
7160,56.93861,-154.1825
7169,57.025555,-154.14583
7211,59.782223,-154.1325
7162,57.535,-153.97667
7167,57.47139,-153.81528
7176,57.55,-153.75
3419,65.99279,-153.70428
7175,57.77,-153.54889
7174,57.730278,-153.32056
7163,57.218056,-153.26973
7171,57.93,-153.04056
8385,-27.466667,-153.01666
7165,57.885277,-152.84612
6926,-22.637253,-152.80519
6839,66.5519,-152.6222
7172,58.49,-152.58223
7164,57.922874,-152.5005
7173,58.166668,-152.5
3531,57.749966,-152.49385
7168,58.190834,-152.37056
7245,63.886112,-152.30194
1994,-16.426485,-152.24367
7113,65.17956,-152.07584
1989,-16.444378,-151.75128
6712,68.1336,-151.743
3417,66.91394,-151.52905
3664,59.645557,-151.47658
1995,-16.72286,-151.46585
1971,-22.434069,-151.36061
3628,60.573112,-151.245
6882,61.076668,-151.13806
7692,60.474957,-151.03824
1991,-16.687243,-151.02167
7092,70.21,-151.00555
