film_id;year;creator_id
1332;1998;11065
1332;1998;11220
1332;1998;11585
1332;1998;11699
1332;1998;11753
1332;1998;12051
1333;1998;11275
1333;1998;11453
1333;1998;11920
1333;1998;12052
1333;1998;12097
1334;1998;11048
1334;1998;11372
1334;1998;11793
1334;1998;11837
1334;1998;11893
1334;1998;11949
1334;1998;11950
1334;1998;11953
1334;1998;11958
1334;1998;11964
1334;1998;11966
1334;1998;11968
1334;1998;11972
1334;1998;11980
1334;1998;11991
1334;1998;11995
1334;1998;11998
1334;1998;12049
1334;1998;12102
1335;1998;11344
1335;1998;11393
1335;1998;11637
1335;1998;11780
1335;1998;11854
1335;1998;12049
1335;1998;12138
1335;1998;12159
1336;1998;11082
1336;1998;11105
1336;1998;11206
1336;1998;11381
1336;1998;11456
1336;1998;11611
1336;1998;11620
1336;1998;11745
1336;1998;11772
1336;1998;11902
1336;1998;11913
1336;1998;12056
1336;1998;12116
1337;1998;11073
1337;1998;11180
1337;1998;11452
1337;1998;11782
1337;1998;12056
1338;1998;11232
1338;1998;11322
1338;1998;11714
1338;1998;12086
1339;1998;11029
1339;1998;11343
1339;1998;11645
1339;1998;11933
1339;1998;12007
1340;1998;11143
1340;1998;11388
1340;1998;11426
1340;1998;11477
1340;1998;11611
1340;1998;11714
1340;1998;11842
1341;1998;11388
1341;1998;11433
1341;1998;11851
1341;1998;11910
1341;1998;12101
1343;1998;11162
1343;1998;11198
1343;1998;11210
1343;1998;11349
1343;1998;11779
1343;1998;11908
1343;1998;12073
1344;1998;11306
1344;1998;11376
1344;1998;11542
1344;1998;11886
1345;1998;11062
1345;1998;11246
1345;1998;11352
1345;1998;11821
1346;1998;11156
1346;1998;11610
1346;1998;11727
1346;1998;11843
1346;1998;12118
1347;1998;11013
1347;1998;11458
1347;1998;11485
1347;1998;11508
1347;1998;11636
1347;1998;11695
1347;1998;11840
1347;1998;12158
1348;1998;11075
1348;1998;11255
1348;1998;11656
1348;1998;11713
1348;1998;11938
1348;1998;12069
1349;1998;11143
1349;1998;11193
1349;1998;11770
1351;1999;11154
1351;1999;11237
1351;1999;11388
1351;1999;11890
1352;1999;11201
1352;1999;11263
1352;1999;11655
1352;1999;11745
1352;1999;11886
1352;1999;12104
1353;1999;11143
1353;1999;11174
1353;1999;11193
1353;1999;11669
1353;1999;11770
1354;1999;11405
1354;1999;11525
1354;1999;11976
1354;1999;12083
1355;1999;11515
1355;1999;12023
1355;1999;12076
1356;1999;11295
1356;1999;11619
1356;1999;11620
1356;1999;11765
1356;1999;12018
1357;1999;11169
1357;1999;11344
1357;1999;11568
1357;1999;11864
1358;1999;11208
1358;1999;11322
1358;1999;11463
1358;1999;11526
1358;1999;11559
1358;1999;11653
1358;1999;11703
1358;1999;11885
1358;1999;12010
1359;1999;11302
1359;1999;11400
1359;1999;11610
1359;1999;12020
1360;1999;11433
1360;1999;11455
1360;1999;11729
1360;1999;11910
1360;1999;12101
1361;1999;11067
1361;1999;11512
1361;1999;11649
1361;1999;11770
1361;1999;12009
1362;1999;11054
1362;1999;11368
1362;1999;11688
1362;1999;11770
1362;1999;11997
1362;1999;12116
1363;1999;11191
1363;1999;11375
1363;1999;11388
1363;1999;12041
1363;1999;12117
1364;1999;11033
1364;1999;11175
1364;1999;11181
1364;1999;11311
1364;1999;11568
1365;1999;11154
1365;1999;11226
1365;1999;11326
1365;1999;11388
1365;1999;11623
1365;1999;11913
1366;1999;11023
1366;1999;11086
1366;1999;11322
1366;1999;12110
1367;1999;11178
1367;1999;11405
1367;1999;11601
1367;1999;11638
1367;1999;11748
1367;1999;11790
1367;1999;11970
1368;1999;11465
1368;1999;11480
1368;1999;11568
1368;1999;11777
1368;1999;12171
1369;1999;11130
1369;1999;11283
1369;1999;11936
1369;1999;12147
1370;1999;11085
1370;1999;11258
1370;1999;11388
1370;1999;11542
1370;1999;11890
1370;1999;12049
1371;1999;11063
1371;1999;11325
1371;1999;11344
1371;1999;11376
1371;1999;11528
1371;1999;11859
1372;1999;11091
1372;1999;11572
1372;1999;11617
1372;1999;11655
1372;1999;11745
1372;1999;11825
1372;1999;11890
1372;1999;12116
1373;1999;11383
1373;1999;11466
1373;1999;11698
1373;1999;11704
1373;1999;11813
1373;1999;12082
1374;1999;11143
1374;1999;11388
1374;1999;11581
1374;1999;11745
1374;1999;11823
1375;1999;11110
1375;1999;11418
1375;1999;11504
1375;1999;11527
1375;1999;11846
1375;1999;12103
1376;1999;11194
1376;1999;11209
1376;1999;11294
1376;1999;11524
1376;1999;11537
1376;1999;11567
1376;1999;11620
1376;1999;11665
1376;1999;11737
1376;1999;11802
1376;1999;12178
1377;1999;11016
1377;1999;11064
1377;1999;12164
1378;1999;11986
1380;2000;11155
1380;2000;11208
1380;2000;11589
1380;2000;11593
1380;2000;11594
1380;2000;11632
1380;2000;11702
1380;2000;11712
1380;2000;11890
1381;2000;11020
1381;2000;11050
1381;2000;11460
1381;2000;11472
1381;2000;11545
1381;2000;11838
1381;2000;12041
1381;2000;12047
1382;2000;11120
1382;2000;11315
1382;2000;11568
1382;2000;11871
1382;2000;12117
1383;2000;11194
1383;2000;11238
1383;2000;11294
1383;2000;11801
1383;2000;12178
1384;2000;11143
1384;2000;11206
1384;2000;11449
1384;2000;11669
1384;2000;11821
1385;2000;11208
1385;2000;11284
1385;2000;11368
1385;2000;11454
1385;2000;11899
1386;2000;11054
1386;2000;11272
1386;2000;11533
1386;2000;11752
1386;2000;12006
